                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1471,                 2.6348,                 1.4119,                0.83527,                0.05256,                0.11216,                0.05805,                  1.449,                 3.4478,                 1.9441,                 0.0676,             0.00032727,             0.00032727
                      2,                  1.218,                 2.0653,                 1.4695,                 0.4484,                0.27736,                0.27263,                0.16531,                 1.3893,                 2.9096,                 1.7504,                 0.0346,             0.00066044,             0.00066044
                      3,                 1.1801,                 1.8861,                 1.4307,                0.30781,                0.36785,                0.28418,                0.16527,                 1.5199,                  2.438,                 1.8588,               0.001599,             0.00099297,             0.00099297
                      4,                 1.1941,                 1.8656,                 1.4499,                0.26494,                0.28305,                0.22685,                0.11678,                 1.7365,                 3.0202,                 2.0508,              0.0009978,              0.0009978,              0.0009978
                      5,                 1.1943,                 1.7714,                 1.4558,                0.35957,                0.36396,                0.30518,                0.19129,                 1.4762,                 2.2771,                 1.8337,              0.0009978,              0.0009978,              0.0009978
                      6,                 1.1706,                 1.7154,                 1.4533,                0.32479,                0.33813,                0.24827,                0.15263,                 1.4939,                 2.3454,                 1.8348,              0.0009961,              0.0009961,              0.0009961
                      7,                 1.1629,                 1.6469,                  1.421,                0.30559,                0.30279,                0.34205,                0.19717,                 1.6015,                 2.5086,                 1.9424,             0.00099391,             0.00099391,             0.00099391
                      8,                 1.1536,                  1.622,                 1.4442,                0.50405,                0.40859,                0.44445,                 0.2586,                 1.4734,                 2.0877,                 1.8098,             0.00099123,             0.00099123,             0.00099123
                      9,                   1.13,                 1.5496,                 1.4089,                0.34563,                0.39442,                0.30121,                0.18482,                 1.4627,                 2.3012,                  1.804,             0.00098808,             0.00098808,             0.00098808
                     10,                 1.1287,                 1.5141,                 1.3999,                0.48355,                0.44229,                0.41921,                0.29232,                 1.3961,                    2.1,                 1.7336,             0.00098445,             0.00098445,             0.00098445
                     11,                  1.089,                 1.4501,                 1.3707,                0.29106,                0.40377,                0.32568,                0.20684,                 1.5198,                 2.3832,                 1.9279,             0.00098035,             0.00098035,             0.00098035
                     12,                 1.0761,                 1.4356,                 1.3725,                0.62385,                0.46736,                 0.4688,                0.31052,                  1.359,                 1.9203,                 1.6385,             0.00097577,             0.00097577,             0.00097577
                     13,                 1.0481,                 1.3554,                 1.3433,                0.63249,                0.45609,                0.50308,                 0.3384,                 1.3393,                 1.8088,                 1.6523,             0.00097074,             0.00097074,             0.00097074
                     14,                 1.0327,                 1.3334,                 1.3509,                0.49018,                 0.3562,                0.37313,                0.25328,                 1.3657,                  2.042,                 1.7217,             0.00096524,             0.00096524,             0.00096524
                     15,                 1.0066,                 1.2718,                 1.3064,                0.52607,                0.39456,                0.43926,                0.30429,                 1.3705,                 1.9656,                 1.7069,             0.00095929,             0.00095929,             0.00095929
                     16,                 1.0372,                 1.2968,                 1.3289,                0.42077,                0.44945,                0.40452,                 0.2781,                 1.3706,                 2.0524,                 1.7127,             0.00095289,             0.00095289,             0.00095289
                     17,                0.99559,                 1.2926,                 1.3284,                0.43492,                0.34157,                0.35183,                0.20915,                 1.5498,                 2.4061,                 1.9712,             0.00094605,             0.00094605,             0.00094605
                     18,                0.99791,                 1.2545,                 1.3141,                0.55464,                0.37066,                0.42496,                0.28014,                 1.3892,                  1.984,                 1.7252,             0.00093877,             0.00093877,             0.00093877
                     19,                0.98617,                 1.2153,                 1.3102,                0.70856,                0.44827,                0.52197,                0.34698,                 1.3278,                 1.8035,                 1.6812,             0.00093107,             0.00093107,             0.00093107
                     20,                0.97286,                 1.1705,                 1.2985,                0.50851,                0.52453,                0.48615,                0.30795,                 1.4596,                 1.8759,                  1.782,             0.00092294,             0.00092294,             0.00092294
                     21,                0.97167,                 1.1404,                 1.2944,                0.54416,                0.42319,                 0.4728,                0.32503,                  1.345,                 1.8962,                 1.6725,              0.0009144,              0.0009144,              0.0009144
                     22,                0.99057,                 1.1764,                 1.3126,                0.56626,                0.43548,                 0.4491,                0.29817,                  1.374,                 1.9822,                 1.7321,             0.00090546,             0.00090546,             0.00090546
                     23,                0.98999,                 1.1923,                 1.3164,                0.73627,                0.44727,                0.55359,                0.37443,                 1.3119,                 1.8117,                 1.6601,             0.00089613,             0.00089613,             0.00089613
                     24,                0.94073,                 1.1124,                 1.2787,                0.58316,                 0.4184,                0.48917,                0.33395,                 1.3808,                 1.9239,                  1.768,              0.0008864,              0.0008864,              0.0008864
                     25,                0.94703,                 1.1166,                 1.2857,                0.51203,                0.47282,                0.45454,                0.30157,                 1.4063,                 2.1018,                 1.7201,              0.0008763,              0.0008763,              0.0008763
                     26,                0.95962,                  1.092,                 1.2785,                0.51942,                0.41868,                0.42123,                 0.2743,                 1.3727,                  1.829,                 1.7256,             0.00086584,             0.00086584,             0.00086584
                     27,                0.94992,                 1.0625,                 1.2777,                0.57199,                0.45357,                0.49106,                0.34363,                 1.2927,                 1.9517,                 1.6418,             0.00085502,             0.00085502,             0.00085502
                     28,                0.92365,                 1.0467,                 1.2643,                0.69578,                0.46738,                0.55161,                0.36743,                 1.3681,                 1.7715,                 1.7091,             0.00084385,             0.00084385,             0.00084385
                     29,                 0.8883,                0.99805,                 1.2455,                0.61692,                0.46343,                0.48969,                0.31771,                 1.3945,                  1.883,                 1.7761,             0.00083235,             0.00083235,             0.00083235
                     30,                0.92068,                 1.0379,                 1.2538,                0.51982,                0.49909,                0.49784,                0.32492,                 1.3067,                 1.7458,                 1.6415,             0.00082052,             0.00082052,             0.00082052
                     31,                0.87751,                0.97901,                  1.231,                 0.6419,                 0.4492,                 0.5537,                0.39396,                  1.206,                 1.6159,                 1.5712,             0.00080839,             0.00080839,             0.00080839
                     32,                0.88282,                0.96095,                 1.2215,                0.67981,                  0.489,                 0.5583,                 0.3995,                 1.2669,                 1.6494,                 1.6092,             0.00079595,             0.00079595,             0.00079595
                     33,                0.85162,                 0.9364,                 1.2147,                0.58633,                0.46346,                0.53375,                0.38928,                 1.2792,                 1.6419,                 1.6452,             0.00078323,             0.00078323,             0.00078323
                     34,                0.86024,                0.92983,                 1.2206,                0.52657,                0.52793,                0.49871,                0.34906,                 1.2856,                 1.8254,                 1.6541,             0.00077023,             0.00077023,             0.00077023
                     35,                0.88593,                0.94238,                 1.2151,                0.55462,                0.51194,                0.52096,                0.34265,                 1.3211,                 1.7066,                  1.674,             0.00075698,             0.00075698,             0.00075698
                     36,                0.84234,                0.90256,                 1.2003,                0.56853,                0.61707,                0.60453,                0.41671,                 1.2389,                 1.4968,                 1.5868,             0.00074347,             0.00074347,             0.00074347
                     37,                0.83846,                0.88909,                 1.2078,                0.44975,                0.54668,                0.49063,                 0.3418,                 1.3028,                 1.8517,                 1.6732,             0.00072973,             0.00072973,             0.00072973
                     38,                0.80233,                0.84802,                  1.163,                0.62859,                0.47628,                0.51247,                0.36953,                  1.244,                 1.7183,                 1.5905,             0.00071576,             0.00071576,             0.00071576
                     39,                0.80342,                0.84474,                 1.1735,                 0.5718,                0.52523,                0.52941,                0.36336,                 1.2413,                 1.7014,                 1.6234,             0.00070159,             0.00070159,             0.00070159
                     40,                0.79611,                0.82263,                 1.1614,                0.55459,                 0.4877,                0.49174,                0.34349,                 1.2868,                 1.9275,                 1.6522,             0.00068722,             0.00068722,             0.00068722
                     41,                0.80335,                0.81632,                 1.1663,                0.54712,                0.44369,                0.44432,                0.31817,                 1.2899,                 1.7857,                 1.6334,             0.00067268,             0.00067268,             0.00067268
                     42,                0.78871,                0.81307,                 1.1666,                0.57494,                0.55876,                0.55118,                0.39819,                 1.2359,                 1.5762,                 1.6061,             0.00065796,             0.00065796,             0.00065796
                     43,                0.78383,                0.82013,                  1.153,                0.58787,                0.53277,                0.54314,                0.36667,                 1.2895,                 1.6919,                  1.636,              0.0006431,              0.0006431,              0.0006431
                     44,                0.77603,                0.78634,                  1.152,                0.64008,                0.49213,                0.52724,                  0.374,                 1.2099,                 1.6129,                 1.5815,              0.0006281,              0.0006281,              0.0006281
                     45,                0.78028,                0.77904,                 1.1487,                0.56792,                0.49617,                0.50887,                0.36686,                 1.2578,                 1.7842,                 1.6578,             0.00061298,             0.00061298,             0.00061298
                     46,                0.76759,                0.76827,                   1.15,                0.63594,                0.52143,                0.54035,                0.37906,                  1.304,                 1.6904,                 1.6968,             0.00059775,             0.00059775,             0.00059775
                     47,                0.74912,                0.73656,                 1.1313,                0.56575,                0.51454,                0.52456,                0.35436,                  1.339,                 1.8282,                 1.7502,             0.00058244,             0.00058244,             0.00058244
                     48,                0.72884,                0.72933,                 1.1323,                0.56219,                0.60527,                0.56065,                0.39842,                  1.216,                 1.6966,                 1.6247,             0.00056704,             0.00056704,             0.00056704
                     49,                0.73827,                0.73088,                 1.1301,                0.62059,                 0.5706,                0.57623,                  0.419,                 1.2304,                 1.6558,                 1.6015,             0.00055158,             0.00055158,             0.00055158
                     50,                0.71357,                0.72349,                 1.1234,                 0.6982,                0.48952,                0.54891,                0.38473,                 1.2577,                 1.7653,                 1.6459,             0.00053608,             0.00053608,             0.00053608
                     51,                0.72275,                0.73241,                 1.1193,                0.60677,                0.57553,                0.57549,                0.38039,                 1.2225,                 1.5958,                 1.6197,             0.00052055,             0.00052055,             0.00052055
                     52,                0.69726,                0.68872,                 1.1111,                0.61602,                0.54725,                0.58737,                0.40709,                 1.2341,                 1.6842,                 1.6115,               0.000505,               0.000505,               0.000505
                     53,                 0.6966,                0.70354,                 1.1024,                0.67736,                0.53355,                0.59062,                0.41201,                 1.1866,                 1.6303,                 1.5737,             0.00048945,             0.00048945,             0.00048945
                     54,                0.69038,                0.68816,                   1.09,                0.55643,                0.51641,                0.53175,                0.38303,                 1.1989,                 1.7921,                  1.575,             0.00047392,             0.00047392,             0.00047392
                     55,                0.70931,                 0.6833,                  1.104,                  0.693,                0.53233,                0.59762,                0.42971,                  1.183,                 1.5301,                 1.5636,             0.00045842,             0.00045842,             0.00045842
                     56,                0.69117,                 0.6853,                 1.1027,                0.58902,                0.54996,                0.57002,                0.41395,                 1.2023,                 1.6054,                 1.6106,             0.00044296,             0.00044296,             0.00044296
                     57,                0.67631,                0.66584,                 1.1069,                0.59342,                0.60801,                0.58721,                 0.4238,                 1.2188,                 1.6077,                  1.586,             0.00042756,             0.00042756,             0.00042756
                     58,                0.66642,                0.64282,                 1.0872,                0.63933,                0.57203,                 0.5642,                0.41371,                 1.1922,                  1.658,                 1.5961,             0.00041225,             0.00041225,             0.00041225
                     59,                0.65992,                0.63547,                 1.0867,                0.65401,                0.56776,                0.57576,                0.40471,                 1.2082,                 1.6299,                 1.6052,             0.00039702,             0.00039702,             0.00039702
                     60,                0.66444,                0.63704,                 1.0902,                0.66146,                 0.5226,                0.55403,                0.40216,                 1.2333,                  1.725,                 1.6188,              0.0003819,              0.0003819,              0.0003819
                     61,                0.65769,                0.62183,                 1.0771,                0.63571,                0.55606,                0.57342,                 0.4245,                 1.2335,                 1.6249,                 1.6133,              0.0003669,              0.0003669,              0.0003669
                     62,                0.65281,                0.61911,                 1.0684,                0.55287,                0.61255,                0.57416,                 0.4265,                 1.1928,                 1.5714,                 1.5899,             0.00035204,             0.00035204,             0.00035204
                     63,                0.63032,                0.60229,                 1.0746,                0.64816,                0.52264,                 0.5672,                0.41428,                   1.19,                 1.7223,                 1.5861,             0.00033732,             0.00033732,             0.00033732
                     64,                0.63486,                0.60925,                  1.074,                0.67895,                0.53094,                0.56983,                0.41872,                 1.1985,                 1.6411,                 1.5817,             0.00032278,             0.00032278,             0.00032278
                     65,                0.62251,                0.59167,                 1.0558,                 0.6033,                0.50818,                0.56851,                0.41036,                 1.2094,                 1.6706,                 1.5886,             0.00030841,             0.00030841,             0.00030841
                     66,                0.62494,                0.57462,                 1.0619,                0.59987,                0.60738,                0.59846,                0.42702,                 1.1841,                 1.5393,                 1.5612,             0.00029424,             0.00029424,             0.00029424
                     67,                0.63556,                0.58735,                 1.0623,                0.71898,                0.48711,                0.57749,                0.43204,                 1.1848,                  1.533,                 1.5803,             0.00028027,             0.00028027,             0.00028027
                     68,                0.59682,                0.56071,                 1.0489,                0.58024,                0.59758,                0.58776,                0.42591,                 1.1871,                 1.6268,                 1.5899,             0.00026653,             0.00026653,             0.00026653
                     69,                0.60322,                0.56254,                 1.0518,                0.56128,                0.56939,                 0.5718,                0.42139,                 1.1855,                 1.6434,                 1.6136,             0.00025302,             0.00025302,             0.00025302
                     70,                0.59327,                0.55594,                 1.0365,                0.55743,                0.58276,                0.56967,                0.41539,                 1.1928,                 1.6922,                 1.6221,             0.00023977,             0.00023977,             0.00023977
                     71,                0.59009,                0.53201,                 1.0426,                0.70088,                 0.5094,                0.55851,                0.41042,                 1.1806,                 1.6587,                 1.5987,             0.00022677,             0.00022677,             0.00022677
                     72,                0.58889,                0.54599,                 1.0481,                0.62631,                0.52681,                0.56516,                0.40689,                 1.2288,                 1.6676,                 1.6407,             0.00021405,             0.00021405,             0.00021405
                     73,                0.57137,                 0.5358,                 1.0352,                0.63924,                0.53703,                0.56804,                0.41957,                  1.208,                 1.7003,                  1.596,             0.00020161,             0.00020161,             0.00020161
                     74,                0.57106,                0.53477,                  1.035,                0.67464,                0.52142,                0.56222,                0.42261,                 1.1725,                 1.6837,                 1.5749,             0.00018948,             0.00018948,             0.00018948
                     75,                0.57958,                0.53151,                   1.04,                0.64621,                 0.5424,                0.58214,                0.43805,                  1.161,                 1.6338,                  1.562,             0.00017765,             0.00017765,             0.00017765
                     76,                0.57045,                0.53928,                 1.0366,                0.62908,                0.55869,                0.57975,                0.43215,                 1.1884,                 1.6157,                 1.6126,             0.00016615,             0.00016615,             0.00016615
                     77,                0.55138,                0.50293,                 1.0296,                0.64566,                 0.5706,                0.60226,                0.44163,                 1.2018,                 1.6168,                 1.6178,             0.00015498,             0.00015498,             0.00015498
                     78,                0.55355,                0.50985,                 1.0247,                0.75062,                0.52297,                0.60041,                0.44179,                 1.2204,                 1.5508,                   1.62,             0.00014416,             0.00014416,             0.00014416
                     79,                0.56829,                0.51773,                 1.0383,                0.71816,                0.56775,                0.59582,                0.43955,                 1.1921,                 1.5674,                 1.6132,              0.0001337,              0.0001337,              0.0001337
                     80,                0.55347,                0.50292,                 1.0254,                0.67966,                 0.5771,                0.59565,                0.44086,                 1.1732,                 1.5922,                 1.5767,              0.0001236,              0.0001236,              0.0001236
                     81,                0.56567,                0.51183,                  1.033,                0.62136,                0.56398,                0.58801,                0.43943,                 1.1909,                 1.6361,                 1.5922,             0.00011387,             0.00011387,             0.00011387
                     82,                0.54474,                0.49949,                 1.0301,                 0.7123,                0.49988,                0.57996,                0.42833,                 1.2179,                 1.6373,                 1.6422,             0.00010454,             0.00010454,             0.00010454
                     83,                0.54122,                0.49787,                 1.0178,                0.54101,                0.61323,                0.59287,                0.44425,                 1.1961,                 1.6048,                 1.6179,             9.5595e-05,             9.5595e-05,             9.5595e-05
                     84,                0.53413,                0.48738,                 1.0155,                0.56821,                0.62309,                0.59097,                0.44387,                 1.1723,                 1.5827,                 1.5936,             8.7058e-05,             8.7058e-05,             8.7058e-05
                     85,                 0.5332,                0.48281,                 1.0121,                 0.6189,                 0.5846,                0.58398,                0.43451,                 1.1831,                  1.592,                 1.6102,             7.8933e-05,             7.8933e-05,             7.8933e-05
                     86,                0.53284,                0.48049,                 1.0111,                0.57169,                0.57704,                0.57586,                0.43015,                 1.1796,                 1.6182,                 1.5976,             7.1228e-05,             7.1228e-05,             7.1228e-05
                     87,                0.52674,                0.47292,                 1.0224,                 0.6205,                0.55519,                0.58411,                 0.4367,                 1.1814,                  1.619,                 1.6078,             6.3952e-05,             6.3952e-05,             6.3952e-05
                     88,                0.53246,                0.48758,                 1.0091,                0.61621,                0.55994,                0.58934,                0.44129,                 1.1843,                 1.5897,                 1.6228,             5.7111e-05,             5.7111e-05,             5.7111e-05
                     89,                0.51121,                0.48006,                 1.0052,                0.76212,                0.50169,                0.59744,                 0.4435,                 1.1878,                 1.5811,                 1.6222,             5.0711e-05,             5.0711e-05,             5.0711e-05
                     90,                0.51341,                0.46651,                0.99979,                0.76221,                 0.4936,                0.59952,                0.44643,                 1.1923,                 1.5718,                 1.6276,             4.4761e-05,             4.4761e-05,             4.4761e-05
                     91,                0.46456,                0.40529,                0.96054,                0.68508,                0.54593,                0.57334,                0.42149,                 1.1993,                 1.5689,                 1.6304,             3.9264e-05,             3.9264e-05,             3.9264e-05
                     92,                0.44537,                0.37086,                 0.9426,                0.69299,                0.55165,                0.57632,                0.42842,                 1.1783,                 1.6054,                 1.6022,             3.4227e-05,             3.4227e-05,             3.4227e-05
                     93,                0.45511,                0.37542,                0.96063,                0.67851,                0.54648,                 0.5821,                0.43983,                 1.1527,                 1.5536,                 1.5913,             2.9655e-05,             2.9655e-05,             2.9655e-05
                     94,                0.45028,                0.37403,                0.94291,                0.68668,                0.55847,                0.58734,                0.44469,                  1.164,                 1.5403,                 1.6067,             2.5551e-05,             2.5551e-05,             2.5551e-05
                     95,                0.44518,                0.36711,                0.94131,                0.67432,                 0.5558,                0.58973,                0.44538,                 1.1586,                 1.5237,                 1.6011,             2.1921e-05,             2.1921e-05,             2.1921e-05
                     96,                0.44106,                 0.3566,                0.94003,                0.71631,                0.54818,                0.59338,                0.44794,                 1.1647,                  1.528,                  1.602,             1.8768e-05,             1.8768e-05,             1.8768e-05
                     97,                0.43773,                0.35735,                0.94079,                0.70336,                0.53901,                0.59148,                0.44642,                 1.1697,                   1.53,                 1.6058,             1.6094e-05,             1.6094e-05,             1.6094e-05
                     98,                0.42898,                0.34251,                0.93431,                0.69204,                0.54521,                0.58735,                0.44689,                  1.172,                 1.5477,                 1.6078,             1.3903e-05,             1.3903e-05,             1.3903e-05
                     99,                 0.4361,                0.35713,                0.94409,                0.67571,                0.54487,                0.58872,                0.44456,                 1.1696,                 1.5608,                 1.6016,             1.2197e-05,             1.2197e-05,             1.2197e-05
                    100,                0.42986,                0.34198,                0.93845,                0.67452,                0.54564,                0.58908,                0.44441,                 1.1664,                 1.5564,                 1.5981,             1.0977e-05,             1.0977e-05,             1.0977e-05
